label,pair,trade_count,unresolved_no_data_count,gross_pnl_bps,cost_bps,net_pnl_bps,hit_rate,profit_factor,sharpe,sortino,max_drawdown_bps,avg_win_bps,avg_loss_bps,avg_bars_held,turnover_notional
baseline_5m_unfiltered,ADAUSDT/ETCUSDT,2558,0,12514.558508702865,30906.4375,-18391.878991297133,0.5160281469898358,0.5680040143507574,-0.1995284238947163,-0.2327753811837174,18666.07252603912,18.319932264988363,-34.38949077631807,3.9487881157154026,2558000.0
baseline_5m_unfiltered,ADAUSDT/ETHUSDT,2524,0,4091.2785168611545,30398.82495,-26307.54643313885,0.42908082408874804,0.3586889510333785,-0.3339945933150186,-0.3657250168506642,26323.91594148629,13.58629892376159,-28.467389429266237,2.488906497622821,2524000.0
baseline_5m_unfiltered,ARBUSDT/ETCUSDT,2702,0,457.48230189871487,32651.833333333332,-32194.35103143462,0.4944485566247224,0.5100903833333766,-0.24252313107698423,-0.2902869604364592,32667.71338192803,25.090215318068974,-48.10752466791711,4.0473723168023685,2702000.0
baseline_5m_unfiltered,ARBUSDT/ETHUSDT,2731,0,3018.435324695166,32890.287375,-29871.85205030483,0.4690589527645551,0.4675540325101047,-0.2543704201750948,-0.28517019230357255,29929.742741734317,20.477139299298464,-38.69177068462494,2.455144635664592,2731000.0
baseline_5m_unfiltered,AVAXUSDT/ETHUSDT,2514,2,-509.8596179162978,30284.8584,-30794.7180179163,0.39538583929992044,0.28301231009236516,-0.39581736997678435,-0.4312101645688146,30802.874500826165,12.228789640490476,-28.256667710897258,2.6348448687350836,2514000.0
baseline_5m_unfiltered,BTCUSDT/ETHUSDT,2486,0,4036.974569925735,29914.530615625,-25877.556045699257,0.21399839098954143,0.15450797877667508,-0.6238997817639033,-0.7429720282180409,25851.97460109403,8.889002395546722,-15.663513469872115,2.34875301689461,2486000.0
baseline_5m_unfiltered,DOGEUSDT/ETHUSDT,2380,0,3256.742161661777,28658.625108333334,-25401.882946671547,0.4256302521008403,0.3880746009314416,-0.30483565849921473,-0.3353018440370309,25396.576561886246,15.902785637645106,-30.366792097736678,2.4319327731092435,2380000.0
baseline_5m_unfiltered,DOTUSDT/ETHUSDT,2523,0,9067.212031720443,30381.4266,-21314.214568279545,0.47919143876337694,0.5624753442309289,-0.18848793806772074,-0.21031735273490149,21293.716379665773,22.664387716019633,-37.07416995201467,2.3686087990487517,2523000.0
baseline_5m_unfiltered,ETCUSDT/ETHUSDT,2633,0,2197.147967432767,31715.487008333334,-29518.339040900562,0.4105582985187998,0.35349820049008773,-0.3234516553161789,-0.35635599359860365,29600.644423672995,14.930821105222623,-29.41917310286483,2.572350930497531,2633000.0
tight_5m_max_half_life_0.375h,ADAUSDT/ETCUSDT,2558,0,12514.558508702865,30906.4375,-18391.878991297133,0.5160281469898358,0.5680040143507574,-0.1995284238947163,-0.2327753811837174,18666.07252603912,18.319932264988363,-34.38949077631807,3.9487881157154026,2558000.0
tight_5m_max_half_life_0.375h,ADAUSDT/ETHUSDT,2524,0,4091.2785168611545,30398.82495,-26307.54643313885,0.42908082408874804,0.3586889510333785,-0.3339945933150186,-0.3657250168506642,26323.91594148629,13.58629892376159,-28.467389429266237,2.488906497622821,2524000.0
tight_5m_max_half_life_0.375h,ARBUSDT/ETCUSDT,2702,0,457.48230189871487,32651.833333333332,-32194.35103143462,0.4944485566247224,0.5100903833333766,-0.24252313107698423,-0.2902869604364592,32667.71338192803,25.090215318068974,-48.10752466791711,4.0473723168023685,2702000.0
tight_5m_max_half_life_0.375h,ARBUSDT/ETHUSDT,2731,0,3018.435324695166,32890.287375,-29871.85205030483,0.4690589527645551,0.4675540325101047,-0.2543704201750948,-0.28517019230357255,29929.742741734317,20.477139299298464,-38.69177068462494,2.455144635664592,2731000.0
tight_5m_max_half_life_0.375h,AVAXUSDT/ETHUSDT,2514,2,-509.8596179162978,30284.8584,-30794.7180179163,0.39538583929992044,0.28301231009236516,-0.39581736997678435,-0.4312101645688146,30802.874500826165,12.228789640490476,-28.256667710897258,2.6348448687350836,2514000.0
tight_5m_max_half_life_0.375h,BTCUSDT/ETHUSDT,2486,0,4036.974569925735,29914.530615625,-25877.556045699257,0.21399839098954143,0.15450797877667508,-0.6238997817639033,-0.7429720282180409,25851.97460109403,8.889002395546722,-15.663513469872115,2.34875301689461,2486000.0
tight_5m_max_half_life_0.375h,DOGEUSDT/ETHUSDT,2380,0,3256.742161661777,28658.625108333334,-25401.882946671547,0.4256302521008403,0.3880746009314416,-0.30483565849921473,-0.3353018440370309,25396.576561886246,15.902785637645106,-30.366792097736678,2.4319327731092435,2380000.0
tight_5m_max_half_life_0.375h,DOTUSDT/ETHUSDT,2523,0,9067.212031720443,30381.4266,-21314.214568279545,0.47919143876337694,0.5624753442309289,-0.18848793806772074,-0.21031735273490149,21293.716379665773,22.664387716019633,-37.07416995201467,2.3686087990487517,2523000.0
tight_5m_max_half_life_0.375h,ETCUSDT/ETHUSDT,2633,0,2197.147967432767,31715.487008333334,-29518.339040900562,0.4105582985187998,0.35349820049008773,-0.3234516553161789,-0.35635599359860365,29600.644423672995,14.930821105222623,-29.41917310286483,2.572350930497531,2633000.0
