execution_style,pair,signal_count,executed_count,no_entry_fill_count,no_exit_fill_count,leg_fill_mismatch_count,ack_unknown_entry_leg_count,entry_filled_leg_count,entry_partially_filled_leg_count,entry_expired_leg_count,entry_no_quote_leg_count,exit_filled_leg_count,exit_partially_filled_leg_count,exit_expired_leg_count,exit_no_quote_leg_count,unclosed_residual_quantity,net_pnl_quote,status
MARKET_IOC,ARBUSDT/OPUSDT,20,20,0,0,8,0,31,9,0,0,29,11,0,0,3101.6301147565327,-194.58805277384226,REALISTIC_NET_NEGATIVE
MARKET_IOC,ARBUSDT/ETHUSDT,14,13,1,0,4,0,22,4,0,2,22,4,0,0,1203.4243258504857,-166.81646204720266,REALISTIC_NET_NEGATIVE
MARKET_IOC,ETCUSDT/ETHUSDT,23,22,1,0,10,1,34,10,0,2,37,7,0,0,167.52930273534867,-267.8216968113747,REALISTIC_NET_NEGATIVE
MARKET_IOC,ARBUSDT/DOTUSDT,20,18,2,0,6,1,29,7,0,4,31,5,0,0,1541.5063371012388,-188.6682583572653,REALISTIC_NET_NEGATIVE
MARKET_IOC,ARBUSDT/LINKUSDT,21,21,0,0,3,0,38,4,0,0,36,6,0,0,2092.47336957916,-194.23093564748683,REALISTIC_NET_NEGATIVE
MARKET_IOC,ARBUSDT/AVAXUSDT,18,17,1,0,6,0,28,6,0,2,23,11,0,0,2246.2490669498893,-199.28997623361604,REALISTIC_NET_NEGATIVE
MARKET_IOC,AVAXUSDT/SOLUSDT,19,18,1,0,8,0,26,10,0,2,32,4,0,0,108.65292618696009,-128.65937232082865,REALISTIC_NET_NEGATIVE
MARKET_IOC,DOGEUSDT/ETCUSDT,26,26,0,0,9,1,43,9,0,0,44,8,0,0,212.73320670819032,-218.77919368114928,REALISTIC_NET_NEGATIVE
MARKET_IOC,AVAXUSDT/ETHUSDT,17,17,0,0,6,0,28,6,0,0,29,5,0,0,122.01042484878555,-134.4645641378129,REALISTIC_NET_NEGATIVE
MARKET_IOC,DOGEUSDT/ETHUSDT,10,10,0,0,0,1,20,0,0,0,19,1,0,0,0.034911462030749685,-138.84383388432022,REALISTIC_NET_NEGATIVE
MARKET_IOC,ETHUSDT/OPUSDT,14,13,1,0,1,1,25,1,0,2,24,2,0,0,416.2640254927247,-111.60367887661667,REALISTIC_NET_NEGATIVE
MARKET_IOC,ETCUSDT/LTCUSDT,25,24,1,0,8,0,40,8,0,2,39,9,0,0,190.96239167861714,-169.9091571907721,REALISTIC_NET_NEGATIVE
MARKET_IOC,ETHUSDT/UNIUSDT,20,20,0,0,1,1,39,1,0,0,37,3,0,0,67.4470453902553,-152.59426475316712,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,ARBUSDT/OPUSDT,20,20,0,0,3,0,37,0,3,0,34,0,3,0,2651.133357063211,-166.0990910152018,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,ARBUSDT/ETHUSDT,14,12,1,1,3,0,23,0,3,2,20,0,3,0,1882.571391819937,-101.3615768403771,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,ETCUSDT/ETHUSDT,23,21,1,1,6,1,38,0,6,2,37,0,1,0,0.7689516646182577,-322.69167127893786,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,ARBUSDT/DOTUSDT,20,17,2,1,6,1,30,0,6,4,25,0,5,0,3121.0239666792886,-159.50512275090287,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,ARBUSDT/LINKUSDT,21,20,0,1,5,0,37,0,5,0,32,0,5,0,4589.591918074911,-134.32807957642774,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,ARBUSDT/AVAXUSDT,18,16,1,1,6,0,28,0,6,2,26,0,2,0,1881.6308178922984,-161.29153310757286,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,AVAXUSDT/SOLUSDT,19,17,1,1,4,0,32,0,4,2,28,0,4,0,331.1557455753946,-82.23252873369617,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,DOGEUSDT/ETCUSDT,26,26,0,0,9,1,43,0,9,0,43,0,0,0,7.105427357601002e-15,-208.1167828883316,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,AVAXUSDT/ETHUSDT,17,17,0,0,4,0,30,0,4,0,28,0,2,0,77.26087860709774,-118.83968919056906,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,DOGEUSDT/ETHUSDT,10,9,0,1,3,1,17,0,3,0,16,0,1,0,0.7119643383753537,-101.60016011735226,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,ETHUSDT/OPUSDT,14,13,1,0,2,1,24,0,2,2,22,0,2,0,1.171565731566832,-86.99362958925806,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,ETCUSDT/LTCUSDT,25,23,1,1,7,0,41,0,7,2,39,0,2,0,24.960497841809193,-248.6562314469176,REALISTIC_NET_NEGATIVE
LIMIT_MAKER_TTL,ETHUSDT/UNIUSDT,20,19,0,1,7,1,33,0,7,0,27,0,6,0,3.3277447904433983,-114.19886429263647,REALISTIC_NET_NEGATIVE
