pair,status,observation_count,signal_count,walk_forward_signal_count,trade_count,gross_pnl_bps,cost_bps,net_pnl_bps,hit_rate,max_drawdown_bps,turnover_notional,net_pnl_quote,dropped_signal_count,dropped_reasons
ARBUSDT/OPUSDT,BACKTEST_APPROVED,720,35,20,20,397.8568935882195,65.9913457871178,331.86554780110174,0.7,170.95339898275245,20000.0,33.18655478011018,0,
BTCUSDT/ETHUSDT,REJECT_NEGATIVE_NET_PNL,720,30,19,19,-32.68636391349314,3.458279119434253,-36.144643032927405,0.42105263157894735,177.2281756216958,19000.0,-3.6144643032927415,0,
ARBUSDT/ETHUSDT,BACKTEST_APPROVED,720,29,14,14,115.30793330243728,27.016556493931066,88.2913768085062,0.6428571428571429,203.2844314462972,14000.0,8.829137680850618,0,
ARBUSDT/ETCUSDT,REJECT_NEGATIVE_NET_PNL,720,35,21,21,-398.44896018735824,64.20021478649653,-462.64917497385477,0.5714285714285714,713.5718688609704,21000.0,-46.264917497385476,0,
ETCUSDT/ETHUSDT,BACKTEST_APPROVED,720,36,23,23,56.772830689874574,31.678983341534863,25.09384734833972,0.5652173913043478,599.4800343642861,23000.0,2.50938473483398,0,
ARBUSDT/DOTUSDT,BACKTEST_APPROVED,720,34,20,20,286.1257991881067,116.17678342715807,169.94901576094867,0.65,432.5322599118328,20000.0,16.99490157609487,0,
ETHUSDT/LINKUSDT,REJECT_NEGATIVE_NET_PNL,720,37,17,17,-57.52791610528175,61.786936555097675,-119.31485266037943,0.47058823529411764,183.95379796072172,17000.0,-11.931485266037944,0,
AVAXUSDT/DOTUSDT,REJECT_NEGATIVE_NET_PNL,720,36,15,15,-175.79312077788705,89.19571023966287,-264.9888310175499,0.3333333333333333,412.5885020796664,15000.0,-26.49888310175499,0,
DOTUSDT/ETCUSDT,REJECT_NEGATIVE_NET_PNL,720,48,28,28,-135.00017389883564,153.3767546949916,-288.37692859382724,0.5,741.9544846987474,28000.0,-28.83769285938272,0,
ATOMUSDT/DOTUSDT,REJECT_NEGATIVE_NET_PNL,720,34,18,18,-130.0019436350687,116.40868871236698,-246.4106323474357,0.5555555555555556,617.5677848092969,18000.0,-24.641063234743566,0,
DOTUSDT/LINKUSDT,REJECT_NEGATIVE_NET_PNL,720,33,18,18,-305.00741506004255,142.90777863081678,-447.9151936908594,0.4444444444444444,584.0976322633829,18000.0,-44.79151936908594,0,
ARBUSDT/LINKUSDT,BACKTEST_APPROVED,720,40,21,21,141.90419582732642,110.10391325245088,31.80028257487555,0.5238095238095238,215.2869808437831,21000.0,3.180028257487555,0,
AVAXUSDT/LINKUSDT,REJECT_NEGATIVE_NET_PNL,720,42,19,19,-339.5667884561273,96.94017879378092,-436.50696724990826,0.3684210526315789,527.3567770805435,19000.0,-43.65069672499082,0,
ARBUSDT/AVAXUSDT,BACKTEST_APPROVED,720,30,18,18,516.410304643535,59.82474494848455,456.5855596950505,0.7222222222222222,276.34726090940916,18000.0,45.65855596950505,0,
ETCUSDT/LINKUSDT,REJECT_NEGATIVE_NET_PNL,720,49,28,28,-169.93684718574093,131.44490862986655,-301.38175581560745,0.4642857142857143,752.6951248219427,28000.0,-30.13817558156075,0,
AVAXUSDT/SOLUSDT,BACKTEST_APPROVED,720,46,19,19,73.95526954489229,53.96516120318316,19.99010834170914,0.5263157894736842,274.9606729640435,19000.0,1.9990108341709103,0,
ETCUSDT/OPUSDT,REJECT_NEGATIVE_NET_PNL,720,51,37,37,-161.808705344196,106.62410752562396,-268.43281286981994,0.4864864864864865,671.9320048204922,37000.0,-26.843281286981988,0,
ETHUSDT/SOLUSDT,REJECT_NEGATIVE_NET_PNL,720,41,15,15,-7.774389498373531,19.96601140512293,-27.740400903496457,0.5333333333333333,146.3991347869048,15000.0,-2.774040090349645,0,
DOGEUSDT/ETCUSDT,BACKTEST_APPROVED,720,39,26,26,164.1500791945227,113.60903314056684,50.54104605395583,0.5769230769230769,331.5130167370664,26000.0,5.054104605395583,0,
AVAXUSDT/ETHUSDT,BACKTEST_APPROVED,720,31,17,17,427.11532899515646,28.3454357463549,398.76989324880157,0.6470588235294118,109.1775555679339,17000.0,39.87698932488016,0,
DOGEUSDT/ETHUSDT,BACKTEST_APPROVED,720,22,10,10,302.53940287534465,31.737769966071653,270.801632909273,0.8,32.44446124456119,10000.0,27.0801632909273,0,
AVAXUSDT/ETCUSDT,REJECT_NEGATIVE_NET_PNL,720,48,28,28,-419.87883393321874,80.0992614846386,-499.97809541785733,0.5,712.739863959773,28000.0,-49.997809541785735,0,
DOTUSDT/ETHUSDT,REJECT_NEGATIVE_NET_PNL,720,33,17,17,42.22591696057188,71.18394427126366,-28.958027310691772,0.47058823529411764,161.60819924011275,17000.0,-2.8958027310691765,0,
ARBUSDT/ATOMUSDT,REJECT_NEGATIVE_NET_PNL,720,32,18,18,25.737036517940066,72.20169843171877,-46.46466191377869,0.7222222222222222,299.96286286721755,18000.0,-4.6464661913778675,0,
DOTUSDT/OPUSDT,REJECT_NEGATIVE_NET_PNL,720,32,17,17,-22.413809969869213,102.37031893769667,-124.78412890756589,0.5294117647058824,404.9067759828836,17000.0,-12.47841289075659,0,
ETHUSDT/OPUSDT,BACKTEST_APPROVED,720,29,14,14,269.72544434526975,23.14837760779619,246.5770667374736,0.7857142857142857,27.78177521503358,14000.0,24.65770667374736,0,
ETCUSDT/LTCUSDT,BACKTEST_APPROVED,720,42,25,25,632.2223763775115,89.64051076616022,542.5818656113513,0.72,516.0521748290831,25000.0,54.25818656113513,0,
ETHUSDT/UNIUSDT,BACKTEST_APPROVED,720,34,20,20,226.99830515949859,83.61211504226976,143.3861901172288,0.6,107.26919720895535,20000.0,14.338619011722882,0,
DOGEUSDT/DOTUSDT,REJECT_NEGATIVE_NET_PNL,720,30,14,14,93.98979383130191,103.22680189155476,-9.237008060252816,0.5714285714285714,497.4620868329029,14000.0,-0.9237008060252838,0,
BTCUSDT/SOLUSDT,REJECT_NEGATIVE_NET_PNL,720,38,21,21,-460.5883931726312,27.562641338787582,-488.1510345114188,0.42857142857142855,625.817763653914,21000.0,-48.81510345114188,0,
ATOMUSDT/ETCUSDT,REJECT_NEGATIVE_NET_PNL,720,40,25,25,-307.1998738435886,88.26666907191422,-395.4665429155029,0.56,775.4435337866335,25000.0,-39.54665429155029,0,
