pair,signal_count,executed_count,no_entry_fill_count,no_exit_fill_count,leg_fill_mismatch_count,ack_unknown_entry_leg_count,partially_filled_entry_leg_count,partially_filled_exit_leg_count,unclosed_residual_quantity,no_quote_entry_leg_count,net_pnl_quote,status
ARBUSDT/OPUSDT,20,20,0,0,8,0,9,11,3101.6301147565327,0,-194.58805277384226,REALISTIC_NET_NEGATIVE
ARBUSDT/ETHUSDT,14,13,1,0,4,0,4,4,1203.4243258504857,2,-166.81646204720266,REALISTIC_NET_NEGATIVE
ETCUSDT/ETHUSDT,23,22,1,0,10,1,10,7,167.52930273534867,2,-267.8216968113747,REALISTIC_NET_NEGATIVE
ARBUSDT/DOTUSDT,20,18,2,0,6,1,7,5,1541.5063371012388,4,-188.6682583572653,REALISTIC_NET_NEGATIVE
ARBUSDT/LINKUSDT,21,21,0,0,3,0,4,6,2092.47336957916,0,-194.23093564748683,REALISTIC_NET_NEGATIVE
ARBUSDT/AVAXUSDT,18,17,1,0,6,0,6,11,2246.2490669498893,2,-199.28997623361604,REALISTIC_NET_NEGATIVE
AVAXUSDT/SOLUSDT,19,18,1,0,8,0,10,4,108.65292618696009,2,-128.65937232082865,REALISTIC_NET_NEGATIVE
DOGEUSDT/ETCUSDT,26,26,0,0,9,1,9,8,212.73320670819032,0,-218.77919368114928,REALISTIC_NET_NEGATIVE
AVAXUSDT/ETHUSDT,17,17,0,0,6,0,6,5,122.01042484878555,0,-134.4645641378129,REALISTIC_NET_NEGATIVE
DOGEUSDT/ETHUSDT,10,10,0,0,0,1,0,1,0.034911462030749685,0,-138.84383388432022,REALISTIC_NET_NEGATIVE
ETHUSDT/OPUSDT,14,13,1,0,1,1,1,2,416.2640254927247,2,-111.60367887661667,REALISTIC_NET_NEGATIVE
ETCUSDT/LTCUSDT,25,24,1,0,8,0,8,9,190.96239167861714,2,-169.9091571907721,REALISTIC_NET_NEGATIVE
ETHUSDT/UNIUSDT,20,20,0,0,1,1,1,3,67.4470453902553,0,-152.59426475316712,REALISTIC_NET_NEGATIVE
